MONTH;OPEN;HIGH;LOW;LAST;CHANGE;SETTLE;EST. VOLUME;PRIOR DAY OI
SEP 22;-;-;-;-;+23.101;292.150;0;170
OCT 22;-;-;-;-;+23.092;296.052;0;274
NOV 22;-;-;-;-;+21.980;298.364;0;274
DEC 22;-;-;-;-;+21.895;298.012;0;274
JAN 23;-;-;-;-;+21.418;295.371;0;222
FEB 23;-;-;-;-;+21.654;293.259;0;222
MAR 23;-;-;-;-;+21.513;287.871;0;222
APR 23;-;-;-;-;+20.826;272.383;0;108
MAY 23;-;-;-;-;+20.503;263.025;0;108
JUN 23;-;-;-;-;+20.353;259.525;0;108
JLY 23;-;-;-;-;+19.586;256.970;0;108
AUG 23;-;-;-;-;+18.988;255.972;0;108
SEP 23;-;-;-;-;+18.998;256.082;0;108
OCT 23;-;-;-;-;+16.352;248.582;0;76
NOV 23;-;-;-;-;+15.700;248.730;0;76
DEC 23;-;-;-;-;+16.326;249.781;0;76
JAN 24;-;-;-;-;+15.179;247.602;0;149
FEB 24;-;-;-;-;+16.262;241.686;0;149
MAR 24;-;-;-;-;+11.809;217.687;0;149
APR 24;-;-;-;-;+7.374;188.187;0;144
MAY 24;-;-;-;-;+5.376;166.188;0;144
JUN 24;-;-;-;-;+2.497;155.709;0;144
JLY 24;-;-;-;-;+2.506;153.719;0;144
AUG 24;-;-;-;-;+2.515;157.403;0;144
SEP 24;-;-;-;-;+2.530;158.737;0;144
OCT 24;-;-;-;-;+3.017;157.188;0;144
NOV 24;-;-;-;-;+3.367;157.438;0;144
DEC 24;-;-;-;-;+3.618;157.624;0;144
JAN 25;-;-;-;-;+2.846;155.826;0;0
FEB 25;-;-;-;-;+4.154;154.829;0;0
MAR 25;-;-;-;-;+4.749;152.629;0;0
APR 25;-;-;-;-;+8.502;111.029;0;0
MAY 25;-;-;-;-;+8.505;106.273;0;0
JUN 25;-;-;-;-;+8.505;99.504;0;0
JLY 25;-;-;-;-;+6.389;96.502;0;0
AUG 25;-;-;-;-;+6.391;98.704;0;0
SEP 25;-;-;-;-;+6.397;99.410;0;0
OCT 25;-;-;-;-;+7.189;101.198;0;0
NOV 25;-;-;-;-;+7.691;103.199;0;0
DEC 25;-;-;-;-;+7.590;100.919;0;0
JAN 26;-;-;-;-;+7.356;100.779;0;0
FEB 26;-;-;-;-;+7.061;97.484;0;0
MAR 26;-;-;-;-;+6.556;94.979;0;0
APR 26;-;-;-;-;-.223;63.390;0;0
MAY 26;-;-;-;-;-2.522;61.090;0;0
JUN 26;-;-;-;-;-3.489;60.122;0;0
JLY 26;-;-;-;-;-3.492;60.119;0;0
AUG 26;-;-;-;-;-3.493;60.117;0;0
SEP 26;-;-;-;-;-3.496;60.365;0;0
OCT 26;-;-;-;-;-3.497;62.039;0;0
NOV 26;-;-;-;-;-3.497;64.039;0;0
DEC 26;-;-;-;-;-3.491;62.047;0;0
JAN 27;-;-;-;-;-.130;57.847;0;0
FEB 27;-;-;-;-;+.170;55.416;0;0
MAR 27;-;-;-;-;+.760;55.015;0;0
APR 27;-;-;-;-;+.524;48.282;0;0
MAY 27;-;-;-;-;+.563;48.823;0;0
JUN 27;-;-;-;-;+.204;48.966;0;0
JLY 27;-;-;-;-;+.001;49.764;0;0
AUG 27;-;-;-;-;-.141;50.108;0;0
SEP 27;-;-;-;-;-.437;50.648;0;0
OCT 27;-;-;-;-;-.723;54.708;0;0
NOV 27;-;-;-;-;-1.139;54.488;0;0
DEC 27;-;-;-;-;-1.486;53.917;0;0
JAN 28;-;-;-;-;-.823;51.496;0;0
FEB 28;-;-;-;-;-.962;50.957;0;0
MAR 28;-;-;-;-;-1.146;50.133;0;0
APR 28;-;-;-;-;-1.363;46.416;0;0
MAY 28;-;-;-;-;-1.248;46.101;0;0
JUN 28;-;-;-;-;-1.123;46.051;0;0
JLY 28;-;-;-;-;-.980;46.045;0;0
AUG 28;-;-;-;-;-.932;46.354;0;0
SEP 28;-;-;-;-;-.916;46.945;0;0
OCT 28;-;-;-;-;-.801;47.261;0;0
NOV 28;-;-;-;-;-.653;47.964;0;0
DEC 28;-;-;-;-;-.441;48.437;0;0
JAN 29;-;-;-;-;+.109;49.002;0;0
FEB 29;-;-;-;-;+.119;48.713;0;0
MAR 29;-;-;-;-;+.124;48.473;0;0
APR 29;-;-;-;-;+.127;48.047;0;0
MAY 29;-;-;-;-;+.130;47.770;0;0
JUN 29;-;-;-;-;+.132;47.322;0;0
JLY 29;-;-;-;-;+.132;47.128;0;0
AUG 29;-;-;-;-;+.134;47.360;0;0
SEP 29;-;-;-;-;+.133;47.870;0;0
OCT 29;-;-;-;-;+.134;48.691;0;0
NOV 29;-;-;-;-;+.134;49.211;0;0
DEC 29;-;-;-;-;+.138;49.436;0;0
JAN 30;-;-;-;-;+.137;49.225;0;0
FEB 30;-;-;-;-;+.137;48.900;0;0
MAR 30;-;-;-;-;+.136;48.554;0;0
APR 30;-;-;-;-;+.135;47.844;0;0
MAY 30;-;-;-;-;+.134;47.418;0;0
JUN 30;-;-;-;-;+.134;46.988;0;0
JLY 30;-;-;-;-;+.134;46.808;0;0
AUG 30;-;-;-;-;+.133;47.027;0;0
SEP 30;-;-;-;-;+.132;47.552;0;0
OCT 30;-;-;-;-;+.131;48.381;0;0
NOV 30;-;-;-;-;+.131;48.881;0;0
DEC 30;-;-;-;-;+.131;49.096;0;0
JAN 31;-;-;-;-;+.130;48.785;0;0
FEB 31;-;-;-;-;+.130;48.465;0;0
MAR 31;-;-;-;-;+.130;48.105;0;0
APR 31;-;-;-;-;+.129;47.715;0;0
MAY 31;-;-;-;-;+.128;47.304;0;0
JUN 31;-;-;-;-;+.128;46.869;0;0
JLY 31;-;-;-;-;+.128;46.709;0;0
AUG 31;-;-;-;-;+.128;46.929;0;0
SEP 31;-;-;-;-;+.128;47.449;0;0
OCT 31;-;-;-;-;+.128;48.284;0;0
NOV 31;-;-;-;-;+.128;48.809;0;0
DEC 31;-;-;-;-;+.128;49.029;0;0